airport_code,airport_state,airport_city
PSG,Alaska,"Petersburg, AK"
ANC,Alaska,"Anchorage, AK"
KTN,Alaska,"Ketchikan, AK"
OME,Alaska,"Nome, AK"
BET,Alaska,"Bethel, AK"
CDV,Alaska,"Cordova, AK"
AKN,Alaska,"King Salmon, AK"
SIT,Alaska,"Sitka, AK"
FAI,Alaska,"Fairbanks, AK"
OTZ,Alaska,"Kotzebue, AK"
ADQ,Alaska,"Kodiak, AK"
JNU,Alaska,"Juneau, AK"
WRG,Alaska,"Wrangell, AK"
DLG,Alaska,"Dillingham, AK"
GST,Alaska,"Gustavus, AK"
BRW,Alaska,"Barrow, AK"
YAK,Alaska,"Yakutat, AK"
ADK,Alaska,"Adak Island, AK"
SCC,Alaska,"Deadhorse, AK"
BHM,Alabama,"Birmingham, AL"
MOB,Alabama,"Mobile, AL"
MGM,Alabama,"Montgomery, AL"
HSV,Alabama,"Huntsville, AL"
DHN,Alabama,"Dothan, AL"
XNA,Arkansas,"Fayetteville, AR"
LIT,Arkansas,"Little Rock, AR"
TXK,Arkansas,"Texarkana, AR"
FSM,Arkansas,"Fort Smith, AR"
TUS,Arizona,"Tucson, AZ"
FLG,Arizona,"Flagstaff, AZ"
AZA,Arizona,"Phoenix, AZ"
YUM,Arizona,"Yuma, AZ"
PHX,Arizona,"Phoenix, AZ"
PRC,Arizona,"Prescott, AZ"
IFP,Arizona,"Bullhead City, AZ"
OAK,California,"Oakland, CA"
SMX,California,"Santa Maria, CA"
SMF,California,"Sacramento, CA"
BUR,California,"Burbank, CA"
SCK,California,"Stockton, CA"
SAN,California,"San Diego, CA"
FAT,California,"Fresno, CA"
SBA,California,"Santa Barbara, CA"
ONT,California,"Ontario, CA"
SFO,California,"San Francisco, CA"
SBP,California,"San Luis Obispo, CA"
PSP,California,"Palm Springs, CA"
RDD,California,"Redding, CA"
SJC,California,"San Jose, CA"
SNA,California,"Santa Ana, CA"
MRY,California,"Monterey, CA"
LGB,California,"Long Beach, CA"
BFL,California,"Bakersfield, CA"
LAX,California,"Los Angeles, CA"
BIH,California,"Bishop, CA"
STS,California,"Santa Rosa, CA"
ACV,California,"Arcata/Eureka, CA"
ASE,Colorado,"Aspen, CO"
COS,Colorado,"Colorado Springs, CO"
ALS,Colorado,"Alamosa, CO"
GJT,Colorado,"Grand Junction, CO"
GUC,Colorado,"Gunnison, CO"
DEN,Colorado,"Denver, CO"
HDN,Colorado,"Hayden, CO"
EGE,Colorado,"Eagle, CO"
MTJ,Colorado,"Montrose/Delta, CO"
DRO,Colorado,"Durango, CO"
PUB,Colorado,"Pueblo, CO"
BDL,Connecticut,"Hartford, CT"
ILG,Delaware,"Wilmington, DE"
PNS,Florida,"Pensacola, FL"
ECP,Florida,"Panama City, FL"
FLL,Florida,"Fort Lauderdale, FL"
MCO,Florida,"Orlando, FL"
RSW,Florida,"Fort Myers, FL"
DAB,Florida,"Daytona Beach, FL"
EYW,Florida,"Key West, FL"
PIE,Florida,"St. Petersburg, FL"
VPS,Florida,"Valparaiso, FL"
SRQ,Florida,"Sarasota/Bradenton, FL"
PGD,Florida,"Punta Gorda, FL"
MIA,Florida,"Miami, FL"
JAX,Florida,"Jacksonville, FL"
GNV,Florida,"Gainesville, FL"
TLH,Florida,"Tallahassee, FL"
MLB,Florida,"Melbourne, FL"
TPA,Florida,"Tampa, FL"
PBI,Florida,"West Palm Beach/Palm Beach, FL"
SFB,Florida,"Sanford, FL"
SAV,Georgia,"Savannah, GA"
CSG,Georgia,"Columbus, GA"
ABY,Georgia,"Albany, GA"
VLD,Georgia,"Valdosta, GA"
AGS,Georgia,"Augusta, GA"
ATL,Georgia,"Atlanta, GA"
BQK,Georgia,"Brunswick, GA"
OGG,Hawaii,"Kahului, HI"
HNL,Hawaii,"Honolulu, HI"
ITO,Hawaii,"Hilo, HI"
LIH,Hawaii,"Lihue, HI"
KOA,Hawaii,"Kona, HI"
MCW,Iowa,"Mason City, IA"
SUX,Iowa,"Sioux City, IA"
FOD,Iowa,"Fort Dodge, IA"
DBQ,Iowa,"Dubuque, IA"
CID,Iowa,"Cedar Rapids/Iowa City, IA"
ALO,Iowa,"Waterloo, IA"
DSM,Iowa,"Des Moines, IA"
IDA,Idaho,"Idaho Falls, ID"
PIH,Idaho,"Pocatello, ID"
LWS,Idaho,"Lewiston, ID"
BOI,Idaho,"Boise, ID"
SUN,Idaho,"Sun Valley/Hailey/Ketchum, ID"
TWF,Idaho,"Twin Falls, ID"
BMI,Illinois,"Bloomington/Normal, IL"
BLV,Illinois,"Belleville, IL"
MDW,Illinois,"Chicago, IL"
ORD,Illinois,"Chicago, IL"
RFD,Illinois,"Rockford, IL"
SPI,Illinois,"Springfield, IL"
PIA,Illinois,"Peoria, IL"
CMI,Illinois,"Champaign/Urbana, IL"
MLI,Illinois,"Moline, IL"
DEC,Illinois,"Decatur, IL"
EVV,Indiana,"Evansville, IN"
IND,Indiana,"Indianapolis, IN"
FWA,Indiana,"Fort Wayne, IN"
SBN,Indiana,"South Bend, IN"
DDC,Kansas,"Dodge City, KS"
ICT,Kansas,"Wichita, KS"
LBL,Kansas,"Liberal, KS"
HYS,Kansas,"Hays, KS"
SLN,Kansas,"Salina, KS"
MHK,Kansas,"Manhattan/Ft. Riley, KS"
GCK,Kansas,"Garden City, KS"
PAH,Kentucky,"Paducah, KY"
CVG,Kentucky,"Cincinnati, OH"
OWB,Kentucky,"Owensboro, KY"
LEX,Kentucky,"Lexington, KY"
SDF,Kentucky,"Louisville, KY"
MLU,Louisiana,"Monroe, LA"
SHV,Louisiana,"Shreveport, LA"
MSY,Louisiana,"New Orleans, LA"
BTR,Louisiana,"Baton Rouge, LA"
